QTLID	QTLName	LocusName
627	Sclero 2-7	Satt459
628	Sclero 2-8	Satt458
629	Sclero 2-9	Satt543
630	Sclero 2-10	Satt256
631	Sclero 2-11	OP_M12b
632	Sclero 2-12	Satt114
633	Sclero 2-13	Satt394
634	Sclero 2-14	Satt191
635	Sclero 2-15	Satt451
636	Sclero 2-16	Satt273
637	Sclero 2-17	Satt260
638	Sclero 2-18	Satt588
639	Sclero 2-19	Satt143
640	Sclero 2-20	Satt481
641	Sclero 2-21	Satt009
642	Sclero 2-22	Satt478
643	Sclero 2-23	Satt123
643	Sclero 2-23	Satt477
644	Sclero 2-24	Sat_109
645	Sclero 3-1	Satt545
646	Sclero 3-2	Satt424
647	Sclero 3-3	Satt197
648	Sclero 3-4	Satt129
648	Sclero 3-4	Satt147
649	Sclero 3-5	Satt459
650	Sclero 3-6	Satt154
651	Sclero 3-7	Satt256
652	Sclero 3-8	OP_M12b
653	Sclero 3-9	Satt114
654	Sclero 3-10	Satt191
655	Sclero 3-11	Satt273
656	Sclero 3-12	Satt260
657	Sclero 3-13	Satt143
658	Sclero 3-14	Satt481
659	Sclero 3-15	Satt009
660	Sclero 3-16	Satt387
661	Sclero 3-17	Satt478
